mtime,AG,AJ,AY,BQ,CF,DU,DZ,ER,ET,FQ,FS,FU,FZ,GN,GU,HJ,HT,IJ,IZ,JK,JO,JU,JY,LM,LO,LX,MP,N,NV,NW,PQ,PS,Q,TW,VX
2021-11-01T01:00,8129677,5625201,7319614,7913722,6975121,7136336,7347541,7568196,7766653,7268034,8433378,6619444,6853033,8666004,6778984,5953096,5330156,8197076,7290271,7533491,7467123,8056651,7801155,4957313,6963259,8241619,7329556,8654671,6792490,8032833,7251619,8183349,7576425,6474209,7067536
2021-11-01T01:05,7967621,5627356,8275557,9095001,8479237,7173644,6463477,8196211,7552290,6840360,6083388,7231241,7101614,6827053,7835132,7541059,6485711,8985631,6362966,6332920,5336440,6635898,8928465,8544145,6651367,7294186,6040826,8596381,5843159,7865740,7749818,8256261,5437589,8317231,6650871
2021-11-01T01:10,6299905,7178956,7768889,5955992,7599063,7633425,7568739,6336409,5196939,8074095,7007685,6128036,7108494,7399052,7826493,6633234,6748539,5851148,6231822,8399506,8217537,8292028,5164924,7254651,7235233,7329380,6774796,6894591,7802762,8185152,8862718,9362191,5771963,7764191,8865892
2021-11-01T01:15,7314325,7027354,6533882,9190313,7334141,9283509,7875588,7167650,7772932,7920247,5435674,5415266,6501180,5217409,8537225,7188368,8131795,6463665,8747398,9723639,7640545,6029322,8025552,5301172,7032600,7649224,6375832,6431970,7345892,5614742,7664319,6848966,7642847,5939120,6218876
2021-11-01T01:20,6990434,7294890,6827045,9680408,7853905,7418362,5413170,9016488,8649924,9172669,6406458,8620147,8497429,8156363,8578190,8257285,8195756,8245333,8491866,7422222,9235111,8864785,7863752,8202734,8282211,7087354,5886183,6635449,8133497,7646711,7015946,7321194,6244947,5721163,7937237
2021-11-01T01:25,8278954,7990099,7305240,8344251,7501186,8784286,6939596,7100400,8962635,8650071,6955044,6600555,8649421,7996439,6350927,6742819,6029369,6712563,7210651,7719612,8940765,9429748,6992699,6197590,7678231,7224453,6393066,5549355,7315761,8102309,8135536,5091501,8247837,6004698,7654997
2021-11-01T01:30,8605004,7593207,7764557,7521082,6591239,6979451,9428458,9589299,7853143,7641764,7408365,7167480,6868536,7125520,7524589,6988407,7856696,7416494,7090333,6179604,7690935,6012160,7715111,9194421,7378286,5788026,8006764,6345417,8378755,6437914,9739752,8534138,6824977,5197907,7674839
2021-11-01T01:35,9124967,3952831,8961168,6260287,7390007,8737246,8381905,8758536,7055371,7647496,8856513,6022455,7747467,6246093,6787601,6241785,8095992,7712229,10262329,6360665,7135197,7708663,8846336,7564687,8684504,7430962,8900852,7329827,8497308,7452077,6750653,7583076,7250062,7007926,7068449
2021-11-01T01:40,7128635,5745548,6569028,7826017,8113315,5855666,5764976,6754595,6545456,7020541,7733396,9041660,8093016,6574190,9142213,9036130,8001366,8108317,5331604,6516755,7680015,6370188,6909551,8550081,7415554,6037209,8362105,6221813,7849710,7872547,7496829,7246209,6964827,8571947,7824709
2021-11-01T01:45,7157662,8187869,5238154,6312157,6088584,8161201,6452666,7055048,7651455,6035032,8416026,6886167,8815358,6574154,7340897,6989219,8707891,6124405,8047147,6946379,5022098,7261161,8119326,6194625,6964965,6938534,8036338,6884671,8629042,5980643,6967215,6726136,7092025,7037699,5981283
2021-11-01T01:50,8692169,6648761,8390865,7675520,7988771,6195231,6432451,6689239,6917430,7413460,7502242,6133502,8363004,7476193,8247129,7482678,9175509,7001491,9059083,6821114,8000727,6351376,7127892,8202749,7126051,6599727,7318891,8293553,6005507,8177905,7981142,7301560,8504670,7554844,9165779
2021-11-01T01:55,7675485,7274244,9769752,7500865,8113773,7044352,8440222,5504286,6898568,8595751,8619093,7966799,7394723,8006429,6762239,6986303,8709622,5577677,5742827,7595548,7829217,6609821,8680536,5824780,6333310,7631140,6405959,8023627,8250833,9195508,7425053,7785927,7836005,8302840,6268670
2021-11-01T02:00,7067196,7683168,6682657,8160834,7774482,8577617,8729926,7237880,6195467,6503552,7556532,7667321,7726392,7232339,7958277,7911899,5735332,9469470,7779129,6379707,7304884,6599126,8675502,6085956,8042897,6493777,8948088,7762187,7257090,7035530,7530626,7212669,7346778,7962532,7761277
2021-11-01T02:05,6823304,7815762,7106675,8942001,8465003,5516934,7633127,6960874,8734017,8145611,6916025,6539039,7834289,7727214,7673506,8490646,7463505,6544142,6069068,6991293,7310513,7555482,6911526,7766072,6674867,7989676,8332533,9056821,8200040,7313236,7078451,7716359,6716978,6515931,5381674
2021-11-01T02:10,7290395,7916846,6794380,8184020,6224245,6909749,8066499,6836103,8799728,8413787,6452385,7753884,6773513,7295908,7718956,6605707,8810108,8825213,8374209,7485261,7964186,6852848,6077790,6327638,5088749,7026487,7401314,6534386,7101420,6230817,7385520,6722795,5743342,6587433,7244647
2021-11-01T02:15,5828596,6696242,8199531,9968149,5872174,8660924,7917314,6202512,6789492,7878697,8732676,5926401,9899104,7428278,7165807,7458595,8166539,5857834,7745077,7597705,9029804,7623895,6836817,6450266,8236217,7684490,7366967,7716595,7727381,6355281,8956973,7820926,7761612,6682648,8443601
2021-11-01T02:20,6565486,8923537,7378392,6953316,6241334,8201413,8679384,8971855,7365334,8460438,8091475,8641831,6367589,7598850,9312836,7010973,5553328,8207068,6258722,6698885,7474216,7137802,8519019,7284037,8208236,7964689,6499068,6811996,5732106,7111005,8303186,7765130,6557407,7920217,10726925
2021-11-01T02:25,6425211,7173943,8475589,7249252,6374392,7242641,9118089,6243110,7872607,6901463,5950639,7850180,6775771,5790735,7956197,7201418,5709351,9313165,8834419,8405580,8337414,5548353,5358035,8740691,7592367,6460567,8083582,5392704,8692491,7935078,9085519,7171364,6866196,6431396,8885654
2021-11-01T02:30,6139064,9603284,7948159,7058624,7918755,8565744,6195193,7585960,8112447,7573766,5468267,8181680,6796722,7312681,6497120,8568768,8930581,5801064,8353487,9188715,7869652,7278356,6732776,6734638,7516665,6560863,6598965,7971989,6359602,8153577,9099012,6013257,8220609,8168426,7696937
2021-11-01T02:35,5204333,7979976,9085113,7350177,7668091,6556985,7240697,5701261,7878480,7348594,6257296,7319787,7639090,7967221,8214726,5016284,5122484,5883944,6312413,9791282,5573638,6090583,6870356,5965520,5495147,6022063,7228556,6594668,6511112,6267833,6079403,8225881,7053449,7533028,5885695
2021-11-01T02:40,5993854,8099806,7251992,10036058,8572017,7760260,6908307,6990214,6032582,5047243,8150318,8070196,9109456,8936035,7982807,5231114,8372994,9072797,8152695,6333915,7607594,6634883,7572418,6383243,5423248,5050256,7147181,7074501,8652641,5714971,6337819,8339846,7606467,7441676,6572419
2021-11-01T02:45,7313479,9889767,6368495,7705894,6760218,7591326,7103450,5278936,7016952,7796577,6037929,8327166,6102751,7330375,7388244,5552759,6533129,7801574,8070062,7096538,7762598,7342695,5603346,6285605,6204541,7996972,7413848,9178519,7255002,7588219,8705324,8219858,9136912,7910839,8098014
2021-11-01T02:50,6427407,5977614,9206426,5563182,9526434,9438351,8131288,6333912,6060321,6598741,5723785,6359510,6824397,9525510,8197634,5987481,6775605,7111990,5887473,8317865,8491693,7602452,8252683,6983958,6690955,7932378,9383429,8293753,8392023,7971047,7167892,9180049,6722282,8528166,6928269
2021-11-01T02:55,7035270,5583019,7362710,8914407,8327790,8280921,7068550,8439042,6725597,7106093,8631924,8423396,7657967,6625378,7124839,8277710,6934997,6705947,9147498,7521882,6172064,9027378,6253286,9276134,6231466,5339158,7316428,8429815,7629969,7479427,6144341,6601493,8326210,4272285,6915929
2021-11-01T03:00,7965068,6737377,6361921,6616078,8327215,8086199,6820526,5949134,7531986,7515995,6945583,6264156,6488079,7017977,7883193,6488022,7813641,7353191,6437266,8374715,6114454,10101823,7262611,8175831,8509349,5685708,8951664,6371237,6959836,7549298,5668797,8164534,7831670,7737375,7962737
2021-11-01T03:05,5152323,9159453,7201706,7167792,6537708,6908067,7142869,7263495,7421112,9946689,7909001,7035323,5671505,7732669,8047750,6328203,6018682,7781732,7022813,7550302,8119700,6869076,7885822,6020181,7674868,8158338,7077364,8187649,8582320,5973388,7705436,8568699,5195289,7932481,7474192
2021-11-01T03:10,5099570,8278541,7887514,6192842,6197747,7403474,5891605,4788173,6953121,7899820,8537352,8652299,6739098,6862264,8280840,8918531,7379210,6293917,7062264,6259004,7491741,6235210,7198939,7758027,7630638,6120034,7070235,5063073,5829083,7932221,6691330,6783877,6791472,8087648,8965064
2021-11-01T03:15,7353153,7483395,9334367,5597055,7032031,6029494,6381524,6172026,6622783,7802453,4619627,8651208,7174897,6120281,8431339,5994123,6121534,7748070,7014600,5460646,8885314,7291404,6870363,6832548,5342502,7169519,7553783,7946092,7786057,8265317,8203064,6805291,8342455,6033366,7874415
2021-11-01T03:20,7740721,8288883,7717095,7177107,8887539,6085878,8689602,7212400,4623347,6967580,7786272,6479518,6455095,6778949,7695383,6064877,5955878,7001584,6456168,6987016,7893937,8301536,6236861,7235444,5510815,8906564,7041621,7651086,7985623,7386166,5848817,8306415,5426753,9295878,5726042
2021-11-01T03:25,8616357,7377931,8620096,7520017,7630584,7063864,9089282,6145943,6671414,7581325,7961861,8540581,5497360,8795967,6298340,8923493,6999116,8440672,8919489,8374715,6236462,7827558,7056512,7825602,6831347,8179272,6786969,8471577,5882993,5420803,6901151,6679467,5736775,10282414,8651862
2021-11-01T03:30,6549873,6750957,8067196,7381991,6898601,5035261,6570292,5536624,8100810,4954383,8344736,5370095,7860279,6531697,6701238,7072026,6744532,7370902,8660090,6815099,7421628,8887949,6876947,7715123,7775619,7040035,7438993,6193103,5909365,6431943,8181753,5181789,7462189,9450586,7009923
2021-11-01T03:35,6536775,6822045,7001425,6109537,6941827,7096804,8087551,9512363,7315237,8526940,7519005,6911559,5543456,7781289,6728647,6339644,5907355,8852083,8953524,8284054,7873547,6987578,7651109,6224688,6363673,7645261,6264098,7974103,5786201,7796899,7210769,8620935,9859709,7759174,8731293
2021-11-01T03:40,5997501,8242024,6669798,7083997,7349161,5542850,7821862,9058025,8094004,6951771,9012788,7109039,6234609,6039044,5218527,8250341,7169066,6307075,8028314,6730125,7849845,4592227,7474867,7445802,8306382,7472103,5818303,7617893,9530698,7298865,6816025,8135907,8341844,6325040,5716062
2021-11-01T03:45,5531893,6757488,8227375,7175594,6816834,5711761,8290158,6994774,7241337,7605457,7737771,7475733,8619999,6111536,7853801,6235122,5367970,8494378,8383296,6950131,7422611,7499101,7900785,8377202,6301985,7484883,7103412,6771855,7955795,7090857,6812635,8043303,8067163,7446619,8063534
2021-11-01T03:50,6637767,6965673,8177548,7080326,7506416,6298960,6009011,7198384,7650069,6568551,5878162,7380569,7675753,5757903,8001547,8349707,7411274,7378876,6766073,8096786,6976143,4564381,9152539,7355439,6128838,9508002,6847414,7877039,7697167,7234078,6558359,8489471,6824461,6840527,6111360
2021-11-01T03:55,9963181,10154949,6886942,6341658,6953017,8036704,7393281,8140612,9256773,7038392,5819976,7957946,7693609,5827604,7638308,7295405,5744683,8024721,6344385,8570577,6490636,6835895,5621933,5875750,5429691,7920865,6950726,8674657,6074971,8000136,7690258,6441312,6801220,6798134,6269534
2021-11-01T04:00,8639970,7343924,7775316,7886257,8535507,7389806,7711326,5950495,7616387,5517214,8815768,8027305,6806832,7816606,8344281,7507249,8748712,5336155,9177699,8168188,5775997,5414788,6033879,7331570,10639255,7963398,6851742,6668400,6831704,5034045,6249071,6426177,8939597,7675876,8076470
2021-11-01T04:05,8232684,8656136,6368366,6419546,7193280,6233394,7645421,8532074,9191480,7969923,6422061,6122755,5486604,6657036,6394919,6701838,7379279,7397388,7913213,3676583,7376371,6972529,8506638,8223357,7836114,6122030,7053808,9098706,7663723,5400777,6366249,5933813,7689214,6263733,8846418
2021-11-01T04:10,6931657,6175843,7091289,9714916,5697878,6544547,6448590,7642214,7642621,7787689,7551568,9101495,4774058,7977815,6166102,8389447,7588196,8841936,8088709,8296940,6898865,7201582,6629951,7745328,7864076,8376801,7259793,7866812,5266873,8640374,7419157,9781489,5775467,6493368,6902988
2021-11-01T04:15,7138554,7305196,6304044,7470001,9209766,8036633,6519586,7585602,8441794,6197861,7561133,8481908,8102128,5880957,4944542,7376934,9816306,6590033,6811622,6341357,6874660,8028165,6110908,6007251,8856296,6725504,8794803,7574235,5744341,6802947,7682803,7839760,6895426,7108521,8326027
2021-11-01T04:20,6603902,7060737,7567614,7483113,6671596,6255482,6429452,8940507,7080132,9134283,8217660,6221752,8523533,9121153,8645032,8355125,6304944,7258050,7448789,9912232,6396907,8239447,7452452,6217384,6146380,8284739,8642556,6509821,9842605,7123747,6148875,6062594,9595973,7797660,7284731
2021-11-01T04:25,8435530,8046072,6170790,7563128,6398110,9611199,6900066,8535392,6921095,7848672,7044736,9301829,6771625,5997351,7651004,5762755,7673486,7191972,7132047,6834245,6550238,8846581,7701162,8882644,7887176,6654147,6364773,6693359,5222347,5760025,7386073,8251799,8493437,7411498,7824328
2021-11-01T04:30,8063070,6239074,7161001,7189637,7581515,6688038,6995106,7621632,6275147,6313352,7998625,7277237,7581984,7334557,6592823,6240093,6947164,6446511,7456083,7723530,7657880,7089703,8794599,5713511,7089400,7021882,7553593,8191269,8337663,7607353,6254118,6154171,9660143,7962688,7339831
2021-11-01T04:35,9490191,9290890,6253720,6561600,7189580,7885698,6247574,7153693,7981408,9307581,7132696,5488028,7742378,6458022,8292467,6698254,6953433,6306263,8526974,7793959,9890695,7396593,6680338,7472713,9222963,8577191,8252040,7169903,8651880,6307893,7291224,7919932,6519227,7324706,8411228
2021-11-01T04:40,6375139,6963206,6919228,7644362,6317519,6043031,5507449,7614283,8524298,8972927,5583354,6679658,6028865,6865435,5806860,7652449,7588807,7878210,7782633,7205843,6498312,7861133,8003938,8525237,5104411,6483869,6155026,7957381,5978977,7930685,6888567,5227997,7691578,7206324,7183888
2021-11-01T04:45,7418530,5405844,8119597,7529766,7810314,7281304,8560918,5238893,6827638,6597848,6839931,4566474,4889286,5628183,8610447,7260675,6078108,6457755,6921088,7549643,5183050,6845871,10741704,6994929,9155543,7164089,7116228,7240453,6650467,7449650,7725555,7753923,6605691,6967077,7723481
2021-11-01T04:50,5906321,7518229,6637736,8487501,8124523,7158076,9921933,10607874,8014245,8835239,8103221,7551580,7329629,5928648,9027413,7769995,6936423,6596447,7621979,6683736,7599474,8367702,6068438,7725231,9169471,9256339,7780744,8410949,5334941,8467317,7226311,7236441,8359154,7565737,6786123
2021-11-01T04:55,7405443,7686312,6231650,6166773,5679359,6192455,6997535,5439629,7093562,6764750,7408447,6694819,7467701,6377361,6274892,7226526,6385646,6150878,7178870,7530531,6495099,8475264,8761075,7415779,7934003,9539230,7258629,5234412,7675914,6609510,8221381,7752695,6950463,8626116,8879023
2021-11-01T05:00,6386249,6669676,6128524,7668423,9306452,6645159,6814687,5778959,8896779,8785911,8779211,7645303,7483725,7429442,7963715,7694700,7522142,7605262,7971026,7319737,8708216,8305182,7970549,6860795,7317844,7265278,6922044,9176764,5649862,6776033,7665142,7443433,7837136,8278804,7283248
2021-11-01T05:05,8066288,7863215,8688067,8181255,8282972,8120099,8958465,6880527,7050087,6044922,7632207,7762136,10278479,7319716,5848269,7847665,7208713,7010357,6796350,5900440,8824649,9425954,6670910,8779292,7711219,7956288,8590199,9459570,6969741,6536042,7537594,7833524,5927706,7140544,7417413
2021-11-01T05:10,6295403,7774720,7671588,6409940,6733645,7012420,8293705,7255824,6554205,8169008,6429726,6747259,7169541,8165351,7739448,7180389,8025747,6814536,5623633,7176863,8106484,7440942,7599933,5083376,5876450,7254223,6872045,7821814,6948269,6718158,7939468,6991119,5873218,7384517,8613427
2021-11-01T05:15,5141909,9400715,8114831,6322184,6602002,8942837,6674828,5112187,8512003,6791039,8100853,7062012,7242624,6834567,7378020,8573835,8679203,9977576,7683261,6631963,6711984,6492430,8000841,8681798,7634053,7303039,7865012,7338741,7481577,7582580,7126180,8894172,7266400,6600731,8933106
2021-11-01T05:20,6640856,7394588,7820236,7565022,8335048,6832237,8849083,8336851,7835033,6590000,5895988,6505920,6850193,9033363,8532713,7512317,6416409,8521881,6548075,8141638,7133683,6920339,7298176,6706589,7640437,5997534,6835878,8264629,7994053,7470323,8134556,7835081,8256370,7556593,6720676
2021-11-01T05:25,8964119,8060030,7281667,8436494,6582338,8958858,8141477,8558935,8808755,7568745,6525126,8054368,6487252,6102745,8860554,5961999,7424104,6783111,8461562,7136783,5599146,7243171,8297414,7875841,6416049,7755939,7772858,6376998,8379513,6967350,7042842,7309056,6069237,7157680,7237603
2021-11-01T05:30,6151980,7180959,7373470,6498339,5979093,6295800,6659002,6863061,7016729,5883821,8620112,7054132,6759979,7084829,7244511,7325147,8438057,6480236,6787132,6734150,7693354,6469705,6675530,8117883,5246451,8239557,7895913,5600593,9014501,7838125,6775736,6796908,7487265,8865894,6616486
2021-11-01T05:35,7251594,8385539,5276242,9390139,6532794,6848285,7481440,6731463,5935126,6687614,7871393,7572685,7480773,7689468,7668441,7039921,7587201,7299227,7392531,7746753,7763212,8334157,7039270,5876410,8664303,7568348,6412013,6406129,7301216,6680545,7635258,7393134,9067918,6552691,5379740
2021-11-01T05:40,6035011,7462848,9771517,6767534,6540624,7712144,7120790,6945343,5683788,6283645,7939727,8257418,8903173,8592932,8134572,9531982,6937930,9554428,7316840,6551446,8038456,9545677,8730727,5965294,6743722,7478042,6174991,8244612,6782334,8670774,8520704,8876152,8858361,7475209,8909744
2021-11-01T05:45,8343408,6930502,7537254,8147206,7440142,5860646,7704372,6614852,7006315,7471819,7115547,7355396,7701745,6779554,7224165,6443917,6889960,9033469,6175182,7119527,6923397,6894201,6994531,8178279,6601711,6986023,5587297,5852151,7255156,7684964,7652639,6141932,7089789,6213871,7529645
2021-11-01T05:50,6587325,6781197,6770263,9067491,6855156,7824554,7740518,8628814,4838177,7849064,6958223,5761596,7861959,7027669,8542762,9087021,8821346,5344016,7319992,6620677,7373441,4730817,5953173,7280929,8022095,6329903,7813481,6215955,5574859,7631467,8384877,6137429,5829244,8662138,7257457
2021-11-01T05:55,5695169,7957393,6347969,6422117,7182955,8784038,8440371,7170830,5917366,9366656,4783440,7631891,8355439,7538417,6105890,6785393,6711976,5774333,8413426,7118599,6635392,6183577,5961200,7538020,8354309,6530686,8782084,8283744,8934732,5876334,7892317,7735461,7480927,6514052,8276514
2021-11-01T06:00,5486517,6548943,7471889,5737139,9106644,7812720,8259997,9884585,8519537,8164896,6775010,8128798,8247366,5038723,9065693,7570611,6749252,7029979,8104164,6580571,8645748,6992525,6279332,5920086,7408060,7192409,7407660,7705092,6861618,7457710,8057552,7495322,6342550,7364610,6547714
2021-11-01T06:05,5377375,8247679,7048394,5718667,7143486,7560741,8712432,6482635,9153351,6706226,8204060,6760932,7693428,7197517,6909817,8357236,8394995,6518556,6901145,7449206,6609017,6915387,7106268,7301556,7994410,5218920,8072085,7442477,6442309,7245432,6833572,7737203,7131567,6749782,7916271
2021-11-01T06:10,7008194,8800270,7146201,8437340,6367168,6545202,7278999,6239574,6159664,5856165,6618857,7178111,7150188,6125848,7185817,8678047,5480809,7416742,7762817,5975913,7270948,8543074,5692822,6865082,8151000,6573061,7318773,7849190,7018149,7730181,6574224,8590505,7844928,7638488,7440502
2021-11-01T06:15,6323571,7999421,8350569,7404450,7133292,7481183,9927544,6889364,8519729,7919290,8380779,7644950,7483983,7393187,6398867,5961482,8728251,6192695,8057868,6616323,7309431,8989738,7859931,7632972,7767750,7849281,8564625,7198299,7501786,7187766,7445175,7614350,6986113,6991686,7574805
2021-11-01T06:20,6870150,7081477,5230788,5108622,7458477,7299691,8322842,6153741,7652741,5918185,7256900,7932955,6888494,7890076,8062171,8140962,7623124,4610550,8092245,8256970,8707381,6292436,7749178,7182967,7853979,7255149,6464995,6995551,7786470,7801691,9679558,8998440,8243187,6425843,5225710
2021-11-01T06:25,7729118,7780148,6057337,7355934,7325836,9235899,6391967,6179018,6736131,6202239,8722458,6575156,8359201,6756080,9317711,7869958,6410017,7238480,6498476,9269517,6079988,8598269,7632625,8224918,6837680,7175282,9283765,8266744,8085894,6038601,5868821,7304631,8406237,7753175,6660103
2021-11-01T06:30,7264077,6176290,6809726,6876818,6080504,5650195,6682819,6759602,8201758,6167382,8150738,7289486,7346896,6639562,5992314,8263868,7551027,7889544,7983133,6202431,6559594,7580371,8103998,5932580,5424056,8265872,5129555,7989023,7942125,6629347,7030028,7536713,6684141,7661342,8066163
2021-11-01T06:35,7612613,8168155,6647559,7225213,10589468,8070312,7651632,8542016,8236768,7700590,6116660,8178107,6089613,7782149,5705463,7935668,5727866,8140682,7197844,7507287,6932502,6765406,6458921,7089762,7476604,6095091,6819303,6710781,8293168,8439623,6005587,7743974,5283301,8347165,7263919
2021-11-01T06:40,8445190,7637109,7934804,5884508,7368871,6365360,7276172,6359272,6029317,7067381,7135516,8257083,7047522,8231827,6765288,8205350,6442169,6004832,8265554,6356176,7123887,6357586,6636421,7263852,8655746,6108296,7863260,7876081,7628225,7167347,7028860,6582202,6433906,8657109,6009282
2021-11-01T06:45,6574174,6872886,7301006,8526188,6872517,6835872,8497372,6887202,6056992,7250967,7892210,7314416,9080013,7362668,6960017,7462691,6764367,7339556,8734858,7792049,7228547,7391320,7235190,7320032,8340791,7104991,7035790,6476536,7397692,6592980,7652208,7323440,8170008,4973242,7640782
2021-11-01T06:50,6807414,6009054,6901856,6695989,7874676,7497029,6831528,7035686,6003623,7518633,9320609,7651663,6175747,7113827,7351181,8608953,8732635,7728980,6278985,5218316,7179993,9467098,7147357,5574526,8992185,8282476,6253646,7402000,9376419,5186973,6772634,7982600,6835162,7089587,8070646
2021-11-01T06:55,8385625,8961674,7637110,5802453,7215155,8427369,6452613,7713833,7990939,7188202,5297199,9073655,7363091,6970125,6830857,6614758,8371566,8223930,7006460,6358681,8561059,7675004,7905239,5390601,6603937,7436372,7789657,6943948,7414817,6601190,5348960,8315786,7042139,8593360,7988401
2021-11-01T07:00,6952930,8186183,6087088,7372024,9538271,6864851,8174305,5899565,6788444,5510858,6750515,9930877,5785074,7043179,7858507,9159370,7496049,7179967,6778398,6411164,6657295,7484648,6073500,7206652,8392090,7017855,8884024,7803719,7337130,7294870,5955712,6650676,7630931,7472155,9697219
2021-11-01T07:05,7164698,7141028,7357969,6804549,6650301,7863693,7211682,9866584,7757739,7510392,8063184,7966803,7505305,8241964,5444111,6594387,6264274,7806588,6346615,8445501,8731801,6709220,8594845,7226710,7666300,8698739,9621831,7203445,6746238,6488494,6033903,7673242,6555796,6091890,7548772
2021-11-01T07:10,7591530,6390999,7228999,7899802,5906724,7712092,7613613,7561726,7715667,6559449,7292824,10462357,8718823,6893094,7788328,9049041,6654900,8194219,8774422,9935636,7053700,6302003,7349968,5570026,7810927,9147173,6324430,9378295,5888646,7939193,9073995,7126054,8194496,6934244,5578115
2021-11-01T07:15,8594136,6831402,6447447,6433055,8744013,9007980,5611444,7730733,6953452,8051493,7184877,7257825,7124572,6343384,8091131,6260088,7896134,6773739,7225201,6226085,7024308,7350069,4602954,8328282,5724100,7510459,5998707,8043879,6645688,6248790,8069916,6232993,8447424,7370957,6688741
2021-11-01T07:20,5523405,7841879,9214792,6406475,7123127,7690954,7528460,6051957,6921318,6103982,8017455,10178715,6664901,8387374,7314565,6508782,7946231,9329776,5773977,8204701,8961818,8197579,7818703,8093689,9249484,7259617,6887033,6966734,7508903,6299333,7745054,8028602,7672194,7772588,8525560
2021-11-01T07:25,6904062,6170017,7752247,7506789,8001124,6746906,6976596,10123909,8517737,6298213,7062048,7875295,7905312,9480776,5332147,8486293,7436612,8455645,6858111,8220852,6206563,9364515,7028224,7895320,6640069,7296372,8502606,7430519,6949719,7273583,6981770,7907587,6864168,7433636,7005185
2021-11-01T07:30,7898717,5969309,7805668,8189041,8151058,5533917,5795230,6145608,7266218,7823824,8167589,7668372,7411534,5914372,7740186,8112872,7818147,6506137,7253475,8058393,6982989,8745909,6248490,6840554,8037392,8938592,7657816,7614547,6871683,7245654,6838395,7468346,7097961,5816553,5412894
